hfq_hcd_1,hfq_hcd_2,nb_ints,bp_fdr
41592,61714,103306,1.2558312576975497e-17
56597,28619,85216,0.9999986385265557
16227,6675,22902,0.062099160786923215
11035,6600,17635,0.008708563574949531
6899,9628,16527,0.0014153076440300062
3,14545,14548,NaN
5725,7739,13464,0.0608267996489403
7547,5793,13340,0.44866759124185646
7736,3494,11230,4.9101505171694386e-17
10846,1,10847,0.07398859749715625
3697,6178,9875,6.249875857917013e-7
2846,6712,9558,3.422959150634121e-14
8820,94,8914,0.32204760611626027
952,5858,6810,5.609881753859683e-19
3,6750,6753,0.20940303286125617
3411,2439,5850,1.5674625245566799e-9
5469,23,5492,0.818604818593013
839,3339,4178,0.9988805798019055
390,3687,4077,8.728712988428855e-7
897,3156,4053,0.005955443025925246
1068,2917,3985,0.7568905880642025
3461,1,3462,0.4174898299983538
2371,1040,3411,0.12546626889347998
44,3319,3363,0.44866759124185646
628,2719,3347,0.9124073000580284
1262,1964,3226,2.051238682377242e-5
2,3194,3196,0.2890095113059234
1666,1432,3098,6.625904265499224e-9
1418,1502,2920,0.19153638928482689
1722,1115,2837,0.00013160128422571492
2756,8,2764,0.1351035968928952
1694,973,2667,7.515827686866755e-12
1156,1317,2473,1.2618991849783175e-19
1486,862,2348,0.9987537809787899
1039,1236,2275,6.881807885294041e-9
2235,0,2235,NaN
1039,1138,2177,1.0026690181036177e-5
699,1413,2112,0.006531896091517178
2,2069,2071,0.5857933458990237
1059,999,2058,6.573304205259172e-5
1978,4,1982,NaN
1073,852,1925,0.9481906106540485
1840,12,1852,0.3241564350249532
1130,712,1842,0.8950917548841388
907,924,1831,0.22592850128792766
402,1339,1741,2.4649144082583096e-31
24,1715,1739,0.7076083448059517
1708,1,1709,NaN
431,1273,1704,4.3005227363754386e-11
1688,2,1690,0.10305057059282668
545,1098,1643,5.392780104649401e-11
778,845,1623,1.4768326939910967e-13
336,1277,1613,0.9999149485132403
468,1024,1492,4.2727378501809925e-9
1468,3,1471,0.999916779459509
955,513,1468,0.7742996008795586
428,1034,1462,0.2208805808629056
849,547,1396,0.34470055684969636
663,720,1383,0.247647584049356
656,682,1338,1.410059141805216e-16
606,722,1328,0.7099946859060099
897,410,1307,0.7731629344482169
428,841,1269,1.4839266344753648e-12
180,1077,1257,1.2972428588229796e-18
718,535,1253,2.0427772990650728e-7
521,717,1238,2.3476959835029928e-5
324,906,1230,7.003885288221225e-36
563,629,1192,0.004639899262517582
633,553,1186,6.914158309995781e-6
2,1179,1181,0.9712092617215249
829,340,1169,0.0034278607132651935
708,460,1168,0.7094866326432423
360,802,1162,0.5462270710137707
0,1128,1128,0.8460613307452832
158,962,1120,0.9928169178499623
688,421,1109,0.669157251650228
282,817,1099,0.6291723264168632
562,535,1097,0.7435026469914164
1035,48,1083,0.7435026469914164
509,564,1073,0.1621397579903595
584,487,1071,0.004531537018677474
384,672,1056,8.464142141957693e-5
665,371,1036,5.062937896635115e-15
195,819,1014,0.005176379628074935
572,440,1012,0.03376244827358014
56,956,1012,0.6291723264168632
114,883,997,1.344152294719795e-13
184,799,983,0.00048635011412236903
96,887,983,0.9986143439135612
156,816,972,3.392689208653268e-9
657,300,957,0.9947688305796785
682,269,951,0.0034189502582752966
944,0,944,0.08509261982872529
155,787,942,0.00041421173827162926
650,265,915,8.370573312912316e-9
635,271,906,0.9255431095586868
661,245,906,0.964109046255293
459,426,885,0.3237841526897692
598,280,878,0.6369711516550383
770,108,878,0.7238406391820129
136,740,876,7.038069368074896e-11
694,179,873,0.03751314847513015
870,0,870,0.2506505417905184
532,336,868,5.740194481607443e-11
496,369,865,0.0006984542439623547
238,607,845,0.9470756569659818
499,338,837,0.98501910208294
542,286,828,0.005381565807703581
163,665,828,8.433134493643772e-5
495,329,824,1.0012503631399805e-7
367,447,814,6.093130310494899e-6
496,312,808,0.21780701902471042
109,693,802,0.3089837028617113
439,339,778,0.912484067245082
194,570,764,0.006275994094620498
604,144,748,0.0018266928952360266
468,277,745,0.009227843620324198
4,734,738,0.8014889144615878
317,418,735,0.12850144349580897
444,290,734,0.9674467168792132
202,526,728,6.741865846367594e-5
265,449,714,1.9577150353822273e-19
409,302,711,0.012151697973575645
651,60,711,1.464326668966242e-25
375,331,706,0.5929840951368425
309,395,704,0.6648127995531528
326,376,702,3.7402423055628486e-14
323,378,701,0.18376814072236525
500,200,700,0.014763730349295769
695,1,696,0.9370946320424296
503,188,691,7.6581143833759955e-19
213,474,687,4.662273551166912e-15
307,374,681,0.9764973997616925
120,554,674,2.1827647119672653e-5
373,295,668,0.2925302080168306
115,548,663,0.0166184400942462
1,658,659,0.7130854953328053
617,39,656,0.0033916228585057122
434,215,649,0.00055488143470991
246,402,648,0.07797528307509231
427,219,646,0.006514576717819695
173,469,642,0.0007993983590752217
196,433,629,0.49760645166926687
524,95,619,0.0004549991174420013
285,332,617,3.972009571793471e-12
82,535,617,0.006531896091517178
616,0,616,0.5857933458990237
104,500,604,0.3459588858218752
307,295,602,0.9899262932434983
598,2,600,0.21456898732814847
166,433,599,1.648805467550834e-11
311,288,599,4.5734245898147043e-20
346,253,599,0.5738872172437227
271,324,595,0.0053799634449009995
442,153,595,0.44866759124185646
78,516,594,8.334931681820488e-8
150,444,594,0.00027637902964779994
260,331,591,0.6291723264168632
587,2,589,0.33249435169208835
331,256,587,0.015482762081108232
304,274,578,0.8975048543322908
568,6,574,0.6711868417913297
572,1,573,0.5857933458990237
317,253,570,0.007831437166921668
290,278,568,0.5736406735004395
47,520,567,0.06908995558802768
291,272,563,0.9390487177697795
299,256,555,1.1078426326389263e-6
373,172,545,0.1641354473506968
292,246,538,8.783974915329113e-5
462,72,534,4.763210715807501e-15
410,120,530,0.027921078313914882
527,2,529,0.8757209103560832
116,413,529,0.49760645166926687
366,161,527,3.4718268773100804e-11
319,207,526,0.9311141009771507
211,315,526,3.6069185335418124e-5
255,269,524,0.9988805798019055
0,522,522,NaN
213,307,520,0.11695309070951362
296,220,516,0.030717450341832705
513,0,513,0.2765719590406248
275,236,511,0.14701094102636791
222,288,510,0.6629495975221694
110,400,510,0.0033677424135487013
73,436,509,0.23776185102771583
149,356,505,9.665707399493182e-12
199,306,505,0.003029130193085433
195,309,504,3.164054819308706e-13
502,2,504,0.9724933787155045
70,428,498,2.3671503517913137e-19
292,205,497,0.3116547807559916
496,0,496,0.4539939338179454
246,248,494,2.8947399618195955e-19
166,321,487,0.16892676507977705
278,208,486,0.022900589127189248
131,348,479,0.07398859749715625
148,331,479,1.1154973713413175e-10
100,376,476,6.90046861274095e-5
194,279,473,3.920968382951177e-6
315,158,473,6.573971522704517e-5
221,252,473,0.3644288262028045
150,320,470,0.0071777884198368095
208,259,467,0.964109046255293
106,360,466,4.263892612931101e-17
289,175,464,0.8329774528688083
232,231,463,0.8381424853319446
206,256,462,0.4005674250897617
98,364,462,2.6746426287997594e-6
343,117,460,1.1226626090632928e-9
259,197,456,0.00010774002068889398
147,309,456,1.384279705425105e-7
197,255,452,NaN
160,289,449,0.45143545212087605
240,207,447,0.12462707591456636
131,314,445,2.874478691237182e-10
108,337,445,1.1894349378542394e-17
379,65,444,0.8824229336212897
174,270,444,0.49760645166926687
0,444,444,NaN
123,320,443,0.2510410782570532
278,165,443,0.023472319151618425
183,259,442,5.6106239257293166e-8
142,299,441,0.00010885751460442357
71,364,435,0.008017815675681196
209,225,434,0.005906954863475227
243,186,429,8.169951884740813e-18
262,166,428,0.9928169178499623
71,355,426,0.11225219921941293
256,169,425,0.9999986385265557
217,206,423,4.642656379308529e-6
339,81,420,0.4272771801048712
98,320,418,0.0005358454932493739
217,200,417,0.03184441363446245
362,51,413,3.663337920665504e-20
82,328,410,0.016424058592684743
227,176,403,0.4358515277141047
253,149,402,2.420758629774437e-13
364,37,401,0.7099946859060099
318,82,400,0.8650076002264386
117,282,399,0.23219974591128764
169,228,397,1.3779122517590504e-6
215,181,396,0.19363620463332684
395,1,396,0.8824229336212897
344,52,396,0.964109046255293
1,394,395,0.31368522263384657
236,158,394,0.027857608649054268
101,290,391,0.06773123215194844
46,344,390,1.338092197815728e-14
139,249,388,0.0014062172566882444
191,196,387,0.13542272488010584
186,201,387,0.44866759124185646
243,143,386,0.25715901252889756
173,213,386,0.004137816162322828
207,179,386,0.9764973997616925
53,330,383,0.00011154738660285572
221,161,382,0.9987317951883277
148,232,380,0.007082438991615938
204,175,379,0.0002476359113996389
172,205,377,0.0006552155393688505
115,261,376,0.16892676507977705
183,192,375,0.0981462602611937
162,213,375,0.38385788007216465
135,239,374,0.36231907692661275
143,231,374,6.813244778298603e-5
115,257,372,0.004474517707693826
186,185,371,3.880646037317968e-15
256,109,365,0.0030266243781080586
46,319,365,0.012168757804640473
185,175,360,0.013627892583681335
104,255,359,0.35918334633262433
53,305,358,2.2651233541155194e-13
223,134,357,2.846285724307328e-6
21,334,355,0.6711868417913297
179,175,354,0.23191610828556825
179,173,352,0.0007916664414579122
80,271,351,0.0093318047352706
233,115,348,0.16892676507977705
171,177,348,0.04120237361190732
78,268,346,0.03955173643637973
134,211,345,0.02844807736250765
219,125,344,0.8824229336212897
35,309,344,1.2997247466269657e-7
170,173,343,0.8961023619145765
103,235,338,0.003303215975826066
175,162,337,0.22645017835996706
204,132,336,0.14427078946531693
201,135,336,0.0015144652887308005
206,128,334,2.846736115502282e-15
149,185,334,0.3703244603695186
238,96,334,0.31044133387771433
117,217,334,0.36729923121442853
331,1,332,0.24052030754391107
144,187,331,0.035960126418488406
56,275,331,0.022106180909607556
158,172,330,0.7844444410100967
215,115,330,NaN
191,139,330,0.15517545943756
7,323,330,0.2759323853033766
88,240,328,0.009189665523477854
175,153,328,0.0021648749154831964
36,291,327,0.00015170810765797647
325,1,326,NaN
0,326,326,0.9169234607532682
253,67,320,0.03699915555555507
155,164,319,0.17030098950590053
200,115,315,1.802686629487315e-7
114,199,313,0.0010552331911790804
101,212,313,0.7288152190031109
100,213,313,0.47177446907525106
0,313,313,NaN
0,311,311,NaN
310,0,310,0.49760645166926687
169,141,310,0.04606363921371698
142,168,310,0.21780701902471042
139,170,309,7.565343933935086e-18
207,101,308,1.10309487282569e-12
144,163,307,1.0749594130654417e-18
46,261,307,2.1648074162965486e-8
104,203,307,0.0006013263738053795
183,122,305,0.00019732421990230223
152,153,305,0.9104194676520985
0,305,305,0.9255431095586868
83,221,304,0.8418271683663301
59,244,303,2.0234341583639993e-8
48,254,302,0.33273674740894993
1,301,302,0.8460613307452832
44,257,301,2.447153504779366e-8
135,166,301,0.0034721975233201526
160,141,301,0.49373992019550184
62,238,300,2.7575174616657325e-5
52,248,300,0.9370946320424296
48,251,299,0.0001450696386699818
