hfq_lcd_1,hfq_lcd_2,nb_ints,bp_fdr
43209,12952,56161,0.08869205529953894
42335,12812,55147,5.332517939268037e-6
12508,8218,20726,0.5757595332036677
11818,6635,18453,0.7875714621104122
9888,4907,14795,0.9307990248938263
10641,4137,14778,0.999998573468372
10392,3824,14216,5.0776666904797635e-6
7167,5761,12928,2.4701448253219543e-18
8529,2955,11484,2.1121087979886926e-7
7904,3449,11353,1.7063719555274063e-12
7553,2865,10418,0.531729986764269
5962,3889,9851,1.5637818757052296e-11
7515,2089,9604,2.1791704607092712e-18
7272,1605,8877,0.00011417339228641206
5486,2698,8184,2.659967155019158e-6
6342,1825,8167,5.0345293832816883e-29
5819,2318,8137,8.478917348267005e-10
5471,2449,7920,0.0021519978849688106
5721,2057,7778,0.483768449142263
4186,3200,7386,0.08982531285562852
5223,2064,7287,0.0025321156588989993
5333,1668,7001,0.2760563926915395
5268,1560,6828,6.713196493851533e-50
2416,4015,6431,NaN
2297,3764,6061,NaN
3168,2563,5731,0.5654040278785792
3980,1502,5482,1.7828136334097985e-19
3612,1711,5323,0.7332177371595686
3866,1456,5322,1.287280459158896e-12
3801,1485,5286,2.657834659587869e-10
3460,1753,5213,0.893076864532752
2682,2475,5157,0.4400115128695284
3349,1662,5011,0.5757595332036677
3379,1465,4844,0.044413422482918664
3169,1613,4782,2.5744662242953934e-6
2577,1746,4323,0.6998986995055784
3136,1164,4300,3.25339637086169e-10
3139,1150,4289,0.35346044289108247
2901,1347,4248,0.43744595809952275
2754,1471,4225,0.019519080662983124
2835,1319,4154,8.895015589592836e-15
2691,1272,3963,3.007841344111219e-10
2999,948,3947,3.2265844371998305e-21
2815,1097,3912,1.4270717008962934e-21
2193,1570,3763,0.531729986764269
2611,1028,3639,0.008264246537314229
2084,1449,3533,0.0024959137974440862
2247,1256,3503,0.7925166447343686
2627,870,3497,0.980101638801523
2249,1217,3466,0.8597792096635031
2360,977,3337,5.961917777111134e-10
2525,721,3246,0.23998440172325927
2356,767,3123,0.47623429651234883
2172,886,3058,0.5757595332036677
1786,1251,3037,1.104873915927192e-14
2068,740,2808,0.9959618436650923
1724,1027,2751,7.682019089643867e-30
1862,801,2663,0.007596686876473467
1844,686,2530,0.01375482460956539
1849,644,2493,0.03651360907284384
1860,631,2491,0.0317884708377512
1745,714,2459,6.627154893472714e-10
1718,722,2440,0.7332177371595686
1772,667,2439,0.00665023749434929
1680,757,2437,2.9386624852014478e-12
1627,747,2374,8.873829977280783e-7
1701,627,2328,0.15921953565114888
1564,758,2322,0.3320913070883687
1494,804,2298,0.3166351360968201
1344,936,2280,1.0069947969523547e-12
1349,884,2233,0.00026414166944258385
1525,706,2231,1.2493149237475449e-22
1537,663,2200,0.00015781928402401962
1594,527,2121,0.002078393348978692
1452,649,2101,0.8597792096635031
1615,478,2093,1.8205563298403787e-6
1577,481,2058,2.138765647758322e-42
1547,509,2056,0.2550802628141915
