name1,type1,name2,type2,nb_ints,nb_multi,in_libs,fisher_pvalue,fisher_fdr,odds_ratio,bp_pvalue,bp_fdr,meanlen1,nms1,meanlen2,nms2
Vcr083,sRNA,Spot42,sRNA,10853,433,2,0.0,0.0,8.853611471245003,0.0012137763938577797,0.018993213720696074,39,0.866,42,0.2717
galK,CDS_UTRS,Spot42,sRNA,9712,116,2,0.0,0.0,38.94093852185188,6.463675080510756e-69,2.2027361586326676e-65,38,0.4153,35,0.2833
MicX,sRNA,Spot42,sRNA,8068,596,2,1.0,1.0,0.0184592899899178,0.00015256358250439353,0.0042646526962471,34,0.5623,39,0.3677
VCA0987,CDS_UTRS,Spot42,sRNA,7360,203,2,0.0,0.0,17.790947034027724,2.8451158542041744e-19,8.321008424193187e-17,39,0.4146,35,0.3028
VC0910,CDS_UTRS,Spot42,sRNA,6959,89,2,0.0,0.0,2.0995003851049647,2.9287403169311265e-131,2.8694699347672328e-127,40,0.6386,37,0.2225
VC0706,CDS_UTRS,Spot42,sRNA,5649,445,2,1.0,1.0,0.1861703545650795,6.699765559280746e-31,4.488327558136617e-28,38,0.5251,38,0.3001
Vcr229,sRNA,Spot42,sRNA,4917,287,2,1.0,1.0,0.04880954991930986,0.002742778028271652,0.031520509383378234,42,0.6336,35,0.2966
VC1034,CDS_UTRS,Spot42,sRNA,4888,379,2,1.0,1.0,0.7722138767321984,9.014508555237494e-25,3.947297179151229e-22,40,0.5409,38,0.2418
Vcr230,sRNA,Spot42,sRNA,4274,213,2,0.0,0.0,3.2543968296368817,0.096722521737595,0.2763636620120456,41,0.6494,35,0.2648
VC0349,CDS_UTRS,Spot42,sRNA,4056,48,2,0.0,0.0,2.9764354382964844,9.128594951712244e-162,1.431016801820315e-157,31,0.5191,49,0.3282
Vcr043,sRNA,Spot42,sRNA,3971,214,2,1.0,1.0,0.007692491215926495,2.706057223765418e-7,1.8475912130309863e-5,35,0.4412,39,0.3422
zapA,CDS_UTRS,Spot42,sRNA,3543,185,2,8.310783752851971e-60,1.9232927447272007e-57,1.3896583618112701,6.585231883084128e-7,4.106261417883986e-5,39,0.5594,37,0.2272
VC2606,CDS_UTRS,Spot42,sRNA,3267,67,2,0.0,0.0,3.154043469727156,0.008331274165116594,0.06121237348481475,40,0.5027,35,0.2734
FarS,sRNA,Spot42,sRNA,3204,138,2,1.0,1.0,0.007480079427024185,0.5804458893057207,0.7647335183340879,35,1.0264,36,0.3111
sucA,CDS_UTRS,Spot42,sRNA,3082,175,2,0.9854263543731114,1.0,0.957225585455852,5.560562825312816e-25,2.462386863338101e-22,42,0.4941,38,0.2836
VC1337,CDS_UTRS,Spot42,sRNA,2889,40,2,0.0,0.0,4.762379421685795,0.37698730661267826,0.619815682493731,32,0.2882,45,0.2592
infB,CDS_UTRS,Spot42,sRNA,2799,169,2,1.0,1.0,0.34470214945483457,2.2957267735823634e-44,2.9498583645927745e-41,40,0.6209,37,0.239
VCA0946,CDS_UTRS,Spot42,sRNA,2521,226,2,1.0,1.0,0.30596354160222905,1.0721681265992725e-15,2.4079544392830255e-13,36,0.4827,39,0.2839
VC1905,CDS_UTRS,Spot42,sRNA,2250,104,2,0.0,0.0,5.717061354213248,6.281335355923909e-22,2.248115737592109e-19,40,0.8353,38,0.3059
Spot42,sRNA,Vcr043,sRNA,2154,100,2,1.0,1.0,0.004116336901917908,2.683813937628236e-6,0.00014108653269298376,34,0.505,43,0.0966
VCA1043,CDS_UTRS,Spot42,sRNA,2097,46,2,2.074977313075873e-174,1.1887386662394045e-171,2.257041320829802,3.6621199337387005e-68,1.196002593859888e-64,40,0.4266,38,0.3038
VC2386,CDS_UTRS,Spot42,sRNA,2083,171,2,0.160997287897334,0.37330508920334826,1.025124737717232,2.757162853213487e-103,1.8009098466477194e-99,37,0.3595,38,0.3023
sdhC,CDS_UTRS,Spot42,sRNA,2074,42,2,4.008700167659619e-27,4.855353565089029e-25,1.324253495630573,3.488962778069449e-19,1.0091084557485663e-16,39,0.475,41,0.2475
MicV,sRNA,Spot42,sRNA,2046,60,2,1.0,1.0,0.012935172229992848,0.9779932553728006,0.9871874071084142,37,0.3682,37,0.4136
VC2387,CDS_UTRS,Spot42,sRNA,1981,142,2,4.484101801895935e-6,0.0001224087872343744,1.1222025301560645,3.5801329266413545e-37,3.1529707744165845e-34,36,0.3775,41,0.255
aphA,CDS_UTRS,Spot42,sRNA,1833,145,2,1.0,1.0,0.03735622179295993,0.9182852080822803,0.9557311498432773,39,0.3906,36,0.2887
Vcr067,sRNA,Spot42,sRNA,1743,41,2,6.617240685921407e-8,2.538571584749207e-6,1.1582548076825263,1.1412176665055759e-26,5.846390975057094e-24,42,0.5582,36,0.2239
Spot42,sRNA,Qrr3,sRNA,1735,9,2,1.0,1.0,0.12827291133018232,0.2275704224150707,0.4713224277795127,36,0.788,35,0.0649
VC1434,CDS_UTRS,Spot42,sRNA,1733,10,2,0.9999999861355957,1.0,0.8644484359608106,3.994125082806078e-9,3.740304875930982e-7,42,0.4695,36,0.2077
VC2550,CDS_UTRS,Spot42,sRNA,1680,41,2,1.0,1.0,0.6931470056744498,2.0517233317740943e-25,9.34977479463868e-23,40,0.3125,42,0.2923
VCA0745,CDS_UTRS,Spot42,sRNA,1656,148,2,0.0,0.0,5.584310419766219,9.16125165066318e-46,1.2170645180180182e-42,35,0.5897,39,0.235
VC2137,CDS_UTRS,Spot42,sRNA,1653,164,2,3.951897432541603e-8,1.563603283662237e-6,1.166204159222175,3.6589219915130044e-32,2.655462635340563e-29,31,0.4083,38,0.3178
VC2614,CDS_UTRS,Spot42,sRNA,1628,219,2,1.0,1.0,0.5260237453306674,4.8853869173841105e-6,0.00023680984042763386,39,0.3131,34,0.2011
5Sh:16Sg,IGR,Spot42,sRNA,1544,48,2,1.0,1.0,0.5715032915235752,1.6407117529696986e-81,7.564742818206939e-78,34,0.2774,45,0.3047
VC1141,CDS_UTRS,Spot42,sRNA,1495,533,2,9.37690687448108e-23,9.58809197935937e-21,1.3526998557477918,1.1269122136307242e-13,1.911872428930515e-11,37,0.3586,37,0.2602
recF,CDS_UTRS,Spot42,sRNA,1468,11,2,3.4494520433679795e-101,1.2513261298536422e-98,2.0642097047650214,2.3281134660759926e-26,1.1772894295774346e-23,36,0.6353,36,0.3005
VC1317,CDS_UTRS,Spot42,sRNA,1430,77,2,5.861836415829677e-38,9.418446141939113e-36,1.5152689806658188,1.226519751317617e-62,3.697532485693313e-59,20,0.7888,35,0.1899
ompU,CDS_UTRS,Spot42,sRNA,1406,154,2,1.0,1.0,0.0927419591299019,1.454189503376605e-47,2.3261393360033e-44,36,0.5158,39,0.2263
VC2605,CDS_UTRS,Spot42,sRNA,1404,53,2,0.0,0.0,6.569849403120649,1.534057143073268e-76,6.680051829512546e-73,38,0.6293,39,0.2617
Vcr026,sRNA,Spot42,sRNA,1390,96,2,0.00022696758428686787,0.003760076190640711,1.1147880395265017,1.082070330343089e-28,6.425284436562246e-26,33,0.4561,38,0.2634
VC0244,CDS_UTRS,Spot42,sRNA,1371,108,2,1.0,1.0,0.24475984383224633,7.578664803538946e-20,2.3204036170554145e-17,38,0.4789,39,0.2559
VC1492,CDS_UTRS,Spot42,sRNA,1333,88,2,1.0,1.0,0.5867770515856645,2.491539223146251e-36,2.146036657686003e-33,35,0.3284,42,0.2564
cyaA,CDS_UTRS,Spot42,sRNA,1322,107,2,1.0,1.0,0.16826879095413932,4.176204854523267e-9,3.8922129928940335e-7,35,0.3067,37,0.2549
ligA,CDS_UTRS,Spot42,sRNA,1302,93,2,5.979874438725713e-198,3.78916944196553e-195,3.271852849951415,3.682354346011496e-27,2.032581802779768e-24,34,0.341,47,0.2375
Spot42,sRNA,Vcr083,sRNA,1268,320,2,1.2392566236343549e-11,7.021286976112059e-10,1.245152148769056,0.03277587206854037,0.14024057351470506,38,0.3529,32,0.4149
Spot42,sRNA,VrrA,sRNA,1256,35,2,1.0,1.0,0.03565990259593293,0.8874115256378132,0.94341637900143,38,0.5906,38,0.2283
hfq,CDS_UTRS,Spot42,sRNA,1173,13,2,1.0,1.0,0.6787991132199451,1.8796707822881092e-5,0.0007787023022543568,40,0.5,38,0.237
