name,ctrl1,ctrl2,ctrl3,exp1,exp2,exp3
sucC,225739.096123794,239468.978518733,248799.823693816,118041.560038195,107551.419295164,131443.738228122
polA,89286.4863387418,73906.0720054218,77535.8875030719,121487.327146351,106950.591603476,130933.261978022
vca0946,266539.725421733,255373.145971572,262280.394188258,388699.713156917,388151.735420349,385780.712960011
vc2361,155827.754467929,143698.225781035,143881.25804073,190353.897947942,179604.785013395,196149.78637151
vc1043,261104.193400872,249810.608263916,253173.259492734,135296.90798883,136995.751807029,132010.528070123
cyaA,117318.031078392,120556.46346561,122288.067445735,162176.317824701,148366.964095082,181019.555720031
vca0166,256162.646546185,261182.156760218,262422.434624169,588699.628625562,587433.801328599,578536.767596153
vc0966,101115.82529452,101056.821299202,117126.545741449,358499.546926854,353146.622074893,352240.520767881
vc2030,165004.465375864,151090.255240945,169180.556623345,192507.034545915,191351.691572813,209130.965939227
vc1904,221498.140710474,270383.770257889,256566.593877016,164258.152154265,164676.066496841,159796.511176043
vc2602,253091.233290608,268083.767801047,248126.008303618,383670.303206977,391186.870351517,378280.303196703
aphA,218718.656219269,215266.390801231,233138.494705031,196042.873311545,204917.974476429,195862.686175152
