name1,type1,ref1,strand1,left1,right1,name2,type2,ref2,strand2,left2,right2,nb_ints,nb_multi,in_libs,fisher_pvalue,fisher_fdr,odds_ratio,bp_pvalue,bp_fdr,meanlen1,nms1,meanlen2,nms2
Vcr222,sRNA,NC_002505,-,2783840,2783908,OppZ,sRNA,NC_002505,+,1164273,1164325,73834,9,true,0.0,0.0,125.77440334890225,9.133266609834626e-102,2.435537762622567e-99,28,0.2599,28,0.2511
FarS,sRNA,NC_002505,-,2266017,2266134,VSsrna24,sRNA,NC_002505,+,106481,106537,56234,7,true,0.0,0.0,16.625148544536454,6.625980827422163e-22,5.889760735486367e-20,28,0.2604,29,0.2503
Vcr229,sRNA,NC_002506,+,897527,897726,VSsrna24,sRNA,NC_002505,+,106481,106537,15706,4,true,0.0,0.0,7.359562054081776,7.532823194940591e-260,6.026258555952473e-257,28,0.2589,29,0.25
VSsrna24,sRNA,NC_002505,+,106481,106537,FarS,sRNA,NC_002505,-,2266017,2266134,11540,1,true,0.0,0.0,6.095547393039645,1.7265526628183353e-17,1.3812421302546683e-15,29,0.2637,28,0.2477
VC0734,CDS_UTRS,NC_002505,+,788749,790684,Vcr001,sRNA,NC_002505,+,21901,21941,11217,4,true,0.0,0.0,29.648085895874697,0.0004901284340310945,0.008230327242244482,29,0.2654,29,0.2601
MicX,sRNA,NC_002506,-,893273,893616,VC0972,CDS_UTRS,NC_002505,+,1037691,1038978,9119,0,true,0.0,0.0,180.2497872832273,0.004939898850732979,0.06933191369449794,28,0.2647,28,0.2486
Vcr025,sRNA,NC_002505,+,522631,522716,VadR,sRNA,NC_002506,+,3202,3285,9101,1,true,0.0,0.0,956.4730139706253,1.7109694667665388e-6,4.8884841907615395e-5,29,0.2595,28,0.2518
VSsrna24,sRNA,NC_002505,+,106481,106537,Vcr229,sRNA,NC_002506,+,897527,897726,7598,1,true,0.0,0.0,15.756478090675213,3.2101882887649725e-181,1.284075315505989e-178,29,0.2706,28,0.2507
VC0972,CDS_UTRS,NC_002505,+,1037691,1038978,MicX,sRNA,NC_002506,-,893273,893616,6709,0,true,0.0,0.0,271.84423518590825,3.845121046974671e-5,0.0007690242093949342,28,0.265,28,0.254
VC0549,CDS_UTRS,NC_002505,+,582157,582617,Vcr001,sRNA,NC_002505,+,21901,21941,6524,1,true,0.0,0.0,27.292441957333054,6.249407154148994e-8,2.0831357180496647e-6,28,0.2607,29,0.2552
VC0573,CDS_UTRS,NC_002505,+,604056,604812,Vcr001,sRNA,NC_002505,+,21901,21941,4601,1,true,0.0,0.0,19.054655542877985,0.8114230340571118,1.0,28,0.2612,29,0.258
VCA0059,CDS_UTRS,NC_002506,-,66326,66974,VrrA,sRNA,NC_002505,+,1878684,1878823,4269,1,true,0.0,0.0,377.46632571602447,7.404187795490948e-6,0.00018035863054907144,28,0.2654,28,0.2516
