sRNA,target,sRNA_from,sRNA_to,target_from,target_to,comment
CarZ,vc2390,33,41,-9,-1,
FarS,vc1740,52,59,5,12,
FarS,fadE,52,59,12,19,
MicV,vc1854,2,17,-22,-7,
MicV,vca0951,1,11,-34,-25,
MicV,ushA,1,11,-34,-25,
MicX,vc0620,259,267,-5,4,
MicX,vc0620,281,293,-18,-6,
OppZ,oppB,1,16,-27,-12,
Qrr1,aphA,12,21,-144,-136,
Qrr1,aphA,1,6,-132,-127,
Qrr1,vc0583,16,27,56,68,
Qrr1,QrrX,16,23,71,78,
Qrr2,aphA,20,29,-144,-136,
Qrr2,aphA,9,14,-132,-127,
Qrr2,vc0583,24,35,56,68,
Qrr2,QrrX,24,31,71,78,
Qrr3,aphA,20,29,-144,-136,
Qrr3,aphA,9,14,-132,-127,
Qrr3,vc0583,25,36,56,68,
Qrr3,QrrX,25,32,71,78,
Qrr4,aphA,19,27,-144,-136,
Qrr4,aphA,11,16,-132,-127,
Qrr4,vc0583,23,34,56,68,
Qrr4,QrrX,24,31,71,78,
VadR,vca1075,5,10,-16,-11,crvA
VadR,vc0928,4,12,-26,-18,rbmA
VadR,vc0934,18,29,-22,-11,vpsL
VadR,vc0916,18,26,-10,-2,vpsU
VcdRP,ptsG,228,233,20,25,
VcdRP,vc0995,224,234,-15,-6,nagE
VcdRP,vc0966,220,232,-12,-2,ptsH
VcdRP,vc0910,220,231,-2,11,treB
VqmR,vca0952,91,99,-22,-14,vpsT
VqmR,vc1063,61,67,-14,-8,
VqmR,aphA,131,138,-8,-1,
VrrA,vc1854,69,79,-18,-8,ompT
VrrA,vca0059,99,107,-21,-14,
