name1,type1,ref1,strand1,left1,right1,name2,type2,ref2,strand2,left2,right2,nb_ints,nb_multi,in_libs,fisher_pvalue,fisher_fdr,odds_ratio,bp_pvalue,bp_fdr,meanlen1,nms1,meanlen2,nms2
Vcr222,sRNA,NC_002505,-,2783840,2783908,OppZ,sRNA,NC_002505,+,1164273,1164325,77785,19,true,0.0,0.0,178.38786142373647,1.8035119930966248e-32,4.6951428886948794e-30,28,0.2337,28,0.2232
FarS,sRNA,NC_002505,-,2266017,2266134,VSsrna24,sRNA,NC_002505,+,106481,106537,60208,23,true,0.0,0.0,20.576050204556697,3.079371461238205e-10,3.006236389033797e-8,28,0.2348,28,0.2231
Vcr229,sRNA,NC_002506,+,897527,897726,VSsrna24,sRNA,NC_002505,+,106481,106537,16838,14,true,0.0,0.0,8.647962150821776,7.114884144061598e-77,3.704483011008072e-74,28,0.2354,28,0.2251
VSsrna24,sRNA,NC_002505,+,106481,106537,FarS,sRNA,NC_002505,-,2266017,2266134,12253,1,true,0.0,0.0,8.122834080937585,8.007806653146359e-14,1.1371085447467829e-11,28,0.239,28,0.2201
VC0734,CDS_UTRS,NC_002505,+,788749,790684,Vcr001,sRNA,NC_002505,+,21901,21941,12217,9,true,0.0,0.0,41.344464391527886,1.5995703444961092e-8,1.1290050161186307e-6,28,0.2374,28,0.2293
MicX,sRNA,NC_002506,-,893273,893616,VC0972,CDS_UTRS,NC_002505,+,1037691,1038978,9614,2,true,0.0,0.0,234.72023145093488,9.439954645621064e-7,5.0845548815379656e-5,28,0.2342,28,0.2216
Vcr025,sRNA,NC_002505,+,522631,522716,VadR,sRNA,NC_002506,+,3202,3285,9601,2,true,0.0,0.0,1277.2937934496879,1.4380040596922346e-15,2.24616234123927e-13,28,0.2327,28,0.2262
VSsrna24,sRNA,NC_002505,+,106481,106537,Vcr229,sRNA,NC_002506,+,897527,897726,8105,2,true,0.0,0.0,22.626646922318788,1.2319932042253472e-77,9.621866924999962e-75,28,0.2445,28,0.2223
VC0549,CDS_UTRS,NC_002505,+,582157,582617,Vcr001,sRNA,NC_002505,+,21901,21941,7087,1,true,0.0,0.0,38.164244028717896,1.670871440520819e-6,8.699670633645065e-5,28,0.231,28,0.2246
VC0972,CDS_UTRS,NC_002505,+,1037691,1038978,MicX,sRNA,NC_002506,-,893273,893616,7041,2,true,0.0,0.0,408.503865029295,2.2388816592020954e-7,1.345051212182182e-5,28,0.238,28,0.2235
VC0573,CDS_UTRS,NC_002505,+,604056,604812,Vcr001,sRNA,NC_002505,+,21901,21941,5011,4,true,0.0,0.0,24.52556128779485,0.5807702266098265,0.8904776885406465,28,0.2367,28,0.2293
VCA0059,CDS_UTRS,NC_002506,-,66326,66974,VrrA,sRNA,NC_002505,+,1878684,1878823,4479,4,true,0.0,0.0,429.57281253102747,0.06617375983633303,0.46016145247505913,28,0.2413,28,0.2282
oppA,CDS_UTRS,NC_002505,+,1158468,1160373,Vcr001,sRNA,NC_002505,+,21901,21941,3002,2,true,0.0,0.0,15.945795243840477,0.0061694342093223786,0.11061659139954927,28,0.2545,28,0.2219
VC1337,CDS_UTRS,NC_002505,+,1420725,1421993,Spot42,sRNA,NC_002505,+,106076,106185,2981,1,true,0.0,0.0,2615.160749264978,0.050616490570096984,0.4096526335258627,28,0.2395,28,0.2248
VC2086,CDS_UTRS,NC_002505,-,2245324,2246621,Vcr001,sRNA,NC_002505,+,21901,21941,2892,1,true,0.0,0.0,15.182730958351614,1.3089859360852847e-7,8.178544128660859e-6,28,0.2341,28,0.231
VSsrna24,sRNA,NC_002505,+,106481,106537,Vcr001,sRNA,NC_002505,+,21901,21941,2640,1,true,1.0,1.0,0.3551574738783194,0.6439174059987303,0.9273745609973286,28,0.2405,28,0.2303
VCA1097,CDS_UTRS,NC_002506,-,1052859,1053364,VqmR,sRNA,NC_002506,+,1031438,1031588,2545,0,true,0.0,0.0,479.489778708684,1.7546183433599202e-8,1.141964105136748e-6,28,0.2306,28,0.2216
